Accession,Keywords,Go
P39641,"3D-structure,Antibiotic biosynthesis,ATP-binding,Complete proteome,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Reference proteome","F:ATP binding,F:ligase activity,F:metal ion binding,P:antibiotic biosynthetic process"
Q8KWT3,"Antibiotic biosynthesis,ATP-binding,Ligase,Magnesium,Metal-binding,Nucleotide-binding","F:ATP binding,F:ligase activity,F:metal ion binding,P:antibiotic biosynthetic process"
Q981V0,"Amino-acid biosynthesis,Arginine biosynthesis,Complete proteome,Cytoplasm,Lyase,Plasmid,Reference proteome","C:cytoplasm,F:argininosuccinate lyase activity,F:ATP binding,F:metal ion binding,P:arginine biosynthetic process via ornithine"
Q8KWS8,"Antibiotic biosynthesis,ATP-binding,Ligase,Magnesium,Metal-binding,Nucleotide-binding","F:ATP binding,F:ligase activity,F:metal ion binding,P:antibiotic biosynthetic process"
Q46WZ6,"ATP-binding,Cell shape,Cell wall biogenesis/degradation,Complete proteome,Cytoplasm,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Peptidoglycan synthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:D-alanine-D-alanine ligase activity,F:metal ion binding,P:cell wall organization,P:peptidoglycan biosynthetic process,P:regulation of cell shape"
B3R6V7,"ATP-binding,Cell shape,Cell wall biogenesis/degradation,Complete proteome,Cytoplasm,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Peptidoglycan synthesis","C:cytoplasm,F:ATP binding,F:D-alanine-D-alanine ligase activity,F:metal ion binding,P:cell wall organization,P:peptidoglycan biosynthetic process,P:regulation of cell shape"
Q1LIM8,"ATP-binding,Cell shape,Cell wall biogenesis/degradation,Complete proteome,Cytoplasm,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Peptidoglycan synthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:D-alanine-D-alanine ligase activity,F:metal ion binding,P:cell wall organization,P:peptidoglycan biosynthetic process,P:regulation of cell shape"
Q604W0,"ATP-binding,Cell shape,Cell wall biogenesis/degradation,Complete proteome,Cytoplasm,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Peptidoglycan synthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:D-alanine-D-alanine ligase activity,F:metal ion binding,P:cell wall organization,P:peptidoglycan biosynthetic process,P:regulation of cell shape"
Q0K6M6,"ATP-binding,Cell shape,Cell wall biogenesis/degradation,Complete proteome,Cytoplasm,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Peptidoglycan synthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:D-alanine-D-alanine ligase activity,F:metal ion binding,P:cell wall organization,P:peptidoglycan biosynthetic process,P:regulation of cell shape"
O50236,"Amino-acid biosynthesis,Arginine biosynthesis,ATP-binding,Complete proteome,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Pyrimidine biosynthesis,Reference proteome,Repeat","F:ATP binding,F:carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,F:metal ion binding,P:'de novo' UMP biosynthetic process,P:arginine biosynthetic process"
P72158,"ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytosol,F:5-(carboxyamino)imidazole ribonucleotide synthase activity,F:ATP binding,F:metal ion binding,F:phosphoribosylaminoimidazole carboxylase activity,P:'de novo' IMP biosynthetic process"
Q9KVT8,"ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytosol,F:5-(carboxyamino)imidazole ribonucleotide synthase activity,F:ATP binding,F:metal ion binding,F:phosphoribosylaminoimidazole carboxylase activity,P:'de novo' IMP biosynthetic process,P:purine ribonucleotide biosynthetic process"
Q5E1R3,"ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:5-(carboxyamino)imidazole ribonucleotide synthase activity,F:ATP binding,F:metal ion binding,F:phosphoribosylaminoimidazole carboxylase activity,P:'de novo' IMP biosynthetic process"
Q87KE0,"ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:5-(carboxyamino)imidazole ribonucleotide synthase activity,F:ATP binding,F:metal ion binding,F:phosphoribosylaminoimidazole carboxylase activity,P:'de novo' IMP biosynthetic process"
Q7MGL1,"ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:5-(carboxyamino)imidazole ribonucleotide synthase activity,F:ATP binding,F:metal ion binding,F:phosphoribosylaminoimidazole carboxylase activity,P:'de novo' IMP biosynthetic process"
Q8DDD8,"ATP-binding,Ligase,Nucleotide-binding,Purine biosynthesis","F:5-(carboxyamino)imidazole ribonucleotide synthase activity,F:ATP binding,F:metal ion binding,F:phosphoribosylaminoimidazole carboxylase activity,P:'de novo' IMP biosynthetic process"
P52559,"ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis","F:5-(carboxyamino)imidazole ribonucleotide synthase activity,F:ATP binding,F:metal ion binding,F:phosphoribosylaminoimidazole carboxylase activity,P:'de novo' IMP biosynthetic process"
O66608,"3D-structure,ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytosol,F:5-(carboxyamino)imidazole ribonucleotide synthase activity,F:ATP binding,F:metal ion binding,F:phosphoribosylaminoimidazole carboxylase activity,P:'de novo' IMP biosynthetic process"
Q54QE4,"ATP-binding,Complete proteome,Decarboxylase,Direct protein sequencing,Ligase,Lyase,Magnesium,Manganese,Metal-binding,Multifunctional enzyme,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:metal ion binding,F:phosphoribosylaminoimidazole carboxylase activity,F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase metabolic process"
P12045,"ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytosol,F:5-(carboxyamino)imidazole ribonucleotide synthase activity,F:ATP binding,F:metal ion binding,F:phosphogluconate dehydrogenase (decarboxylating) activity,F:phosphoribosylaminoimidazole carboxylase activity,P:'de novo' IMP biosynthetic process"
P72157,"Complete proteome,Isomerase,Purine biosynthesis,Reference proteome","F:5-(carboxyamino)imidazole ribonucleotide mutase activity,P:'de novo' IMP biosynthetic process"
